route,booking_window,scrape_date,n_offers,cheapest,median,mean,dearest,carriers
AMD-DEL,T+1,2026-09-10,19,5985,7541,10083,20067,2
AMD-DEL,T+1,2026-09-11,18,6522,8056,8822,13295,2
AMD-DEL,T+15,2026-09-10,19,5803,6365,6435,7257,2
AMD-DEL,T+15,2026-09-11,18,5985,6344,6586,7940,2
AMD-DEL,T+30,2026-09-10,18,5803,6185,6403,8622,3
AMD-DEL,T+30,2026-09-11,17,5985,6185,6205,6522,2
AMD-DEL,T+45,2026-09-10,20,6522,7310,7931,11510,2
AMD-DEL,T+45,2026-09-11,21,5750,7520,8217,11510,4
AMD-DEL,T+7,2026-09-10,17,5803,6622,7149,9567,2
AMD-DEL,T+7,2026-09-11,19,5985,6522,6867,11709,2
BLR-BOM,T+1,2026-09-10,56,10429,12642,14335,26834,3
BLR-BOM,T+1,2026-09-11,32,8648,10552,11004,19164,3
BLR-BOM,T+15,2026-09-10,62,4364,7331,7109,8937,4
BLR-BOM,T+15,2026-09-11,32,4165,6877,6609,9184,3
BLR-BOM,T+30,2026-09-10,56,4584,7507,7269,8907,3
BLR-BOM,T+30,2026-09-11,28,4164,7507,7156,10706,3
BLR-BOM,T+45,2026-09-10,66,6877,7927,8041,16642,5
BLR-BOM,T+45,2026-09-11,34,5634,7352,7516,10796,5
BLR-BOM,T+7,2026-09-10,66,6054,7192,7416,10517,3
BLR-BOM,T+7,2026-09-11,30,5529,7858,8389,15080,3
BLR-CCU,T+1,2026-09-10,12,11300,12035,11957,12875,3
BLR-CCU,T+1,2026-09-11,11,10040,11300,11849,15080,2
BLR-CCU,T+15,2026-09-10,12,8150,8797,9017,11300,3
BLR-CCU,T+15,2026-09-11,11,8675,10303,10226,11300,2
BLR-CCU,T+30,2026-09-10,16,12770,15080,15733,24005,4
BLR-CCU,T+30,2026-09-11,19,11300,13160,13507,17939,4
BLR-CCU,T+45,2026-09-10,21,9830,12315,12924,16655,4
BLR-CCU,T+45,2026-09-11,21,8675,11143,11079,15800,4
BLR-CCU,T+7,2026-09-10,12,7310,7835,8041,9483,3
BLR-CCU,T+7,2026-09-11,12,7310,8041,8167,9569,3
BLR-DEL,T+1,2026-09-10,78,9720,11654,14727,24679,4
BLR-DEL,T+1,2026-09-11,35,9880,11494,13252,24679,4
BLR-DEL,T+15,2026-09-10,78,9201,10150,10367,15907,4
BLR-DEL,T+15,2026-09-11,38,8715,10084,10125,12153,4
BLR-DEL,T+30,2026-09-10,72,10872,12886,13237,17273,4
BLR-DEL,T+30,2026-09-11,40,9500,11192,11753,17902,4
BLR-DEL,T+45,2026-09-10,90,9500,10567,10623,16611,5
BLR-DEL,T+45,2026-09-11,41,9500,9971,10206,16611,5
BLR-DEL,T+7,2026-09-10,76,8259,9299,9685,13843,4
BLR-DEL,T+7,2026-09-11,39,8715,9720,11351,17902,4
BLR-HYD,T+1,2026-09-10,12,12468,15644,15762,17939,3
BLR-HYD,T+1,2026-09-11,14,7073,10924,11028,16611,2
BLR-HYD,T+15,2026-09-10,13,5221,7414,7009,8780,2
BLR-HYD,T+15,2026-09-11,14,4613,5955,5746,6825,2
BLR-HYD,T+30,2026-09-10,15,4288,6825,8461,14935,2
BLR-HYD,T+30,2026-09-11,14,4473,5370,6178,9570,2
BLR-HYD,T+45,2026-09-10,17,4288,4737,4863,6044,3
BLR-HYD,T+45,2026-09-11,17,4288,4737,4767,5644,3
BLR-HYD,T+7,2026-09-10,14,4767,8648,9302,16363,3
BLR-HYD,T+7,2026-09-11,14,5808,8311,9180,13641,3
CCU-BOM,T+1,2026-09-10,14,8850,11604,13067,23986,3
CCU-BOM,T+1,2026-09-11,13,8850,9318,10032,16237,3
CCU-BOM,T+15,2026-09-10,13,8463,8850,9275,13050,3
CCU-BOM,T+15,2026-09-11,13,8463,9008,9049,9505,3
CCU-BOM,T+30,2026-09-10,20,8850,10688,11070,17201,4
CCU-BOM,T+30,2026-09-11,20,8850,9420,10943,19875,4
CCU-BOM,T+45,2026-09-10,18,12210,19210,20484,31195,4
CCU-BOM,T+45,2026-09-11,16,10111,15798,15994,20947,4
CCU-BOM,T+7,2026-09-10,14,8325,8929,9007,9667,3
CCU-BOM,T+7,2026-09-11,14,8602,9008,10400,16810,3
DEL-BOM,T+1,2026-09-10,106,6314,6880,10498,24973,4
DEL-BOM,T+1,2026-09-11,56,6314,6583,7037,19603,5
DEL-BOM,T+15,2026-09-10,72,6425,6880,7685,22551,5
DEL-BOM,T+15,2026-09-11,54,6314,6582,6654,8140,5
DEL-BOM,T+30,2026-09-10,112,6425,6582,6625,7327,5
DEL-BOM,T+30,2026-09-11,56,6314,6742,6744,8042,5
DEL-BOM,T+45,2026-09-10,114,6778,7070,7283,9854,5
DEL-BOM,T+45,2026-09-11,65,6778,7070,7211,8750,5
DEL-BOM,T+7,2026-09-10,116,6314,6675,6991,19603,5
DEL-BOM,T+7,2026-09-11,55,6150,6793,7735,13822,4
DEL-CCU,T+1,2026-09-10,22,8712,9104,9460,12431,3
DEL-CCU,T+1,2026-09-11,23,8406,9080,9041,10371,4
DEL-CCU,T+15,2026-09-10,22,8406,8817,8861,9129,3
DEL-CCU,T+15,2026-09-11,23,8406,8817,9572,22514,4
DEL-CCU,T+30,2026-09-10,27,10815,14163,14055,25335,4
DEL-CCU,T+30,2026-09-11,27,5522,12541,12035,16378,5
DEL-CCU,T+45,2026-09-10,24,13196,22438,22000,32289,5
DEL-CCU,T+45,2026-09-11,23,10651,17161,18122,23456,5
DEL-CCU,T+7,2026-09-10,22,8259,8896,9187,10887,3
DEL-CCU,T+7,2026-09-11,22,8259,8817,8933,9722,3
DEL-HYD,T+1,2026-09-10,50,8711,8984,9270,10917,3
DEL-HYD,T+1,2026-09-11,25,8711,8825,8850,8984,3
DEL-HYD,T+15,2026-09-10,50,8440,8984,9090,9966,3
DEL-HYD,T+15,2026-09-11,25,8711,8984,9253,10922,3
DEL-HYD,T+30,2026-09-10,52,8587,8828,9162,13016,3
DEL-HYD,T+30,2026-09-11,27,8828,9200,9306,10565,3
DEL-HYD,T+45,2026-09-10,50,8828,10919,10863,14368,3
DEL-HYD,T+45,2026-09-11,25,9303,10348,10770,18644,3
DEL-HYD,T+7,2026-09-10,50,8711,8984,9346,10917,3
DEL-HYD,T+7,2026-09-11,25,8711,9803,9797,13016,3
DEL-PNQ,T+1,2026-09-10,24,6929,12510,11979,16888,5
DEL-PNQ,T+1,2026-09-11,20,6929,9259,10358,19881,5
DEL-PNQ,T+15,2026-09-10,24,6929,7428,7650,9318,5
DEL-PNQ,T+15,2026-09-11,20,6929,8187,8395,11003,5
DEL-PNQ,T+30,2026-09-10,20,6929,7676,7930,10462,5
DEL-PNQ,T+30,2026-09-11,23,6930,8769,9105,12111,5
DEL-PNQ,T+45,2026-09-10,27,7552,8769,9400,12924,5
DEL-PNQ,T+45,2026-09-11,27,7127,8114,8741,12882,5
DEL-PNQ,T+7,2026-09-10,24,6929,7382,7614,10551,5
DEL-PNQ,T+7,2026-09-11,24,6929,8163,9036,15040,5
HYD-BOM,T+1,2026-09-10,17,6078,11385,13827,32852,2
HYD-BOM,T+1,2026-09-11,17,6970,11664,12583,17685,2
HYD-BOM,T+15,2026-09-10,17,6078,6293,6880,8655,2
HYD-BOM,T+15,2026-09-11,17,6078,6293,6457,7663,2
HYD-BOM,T+30,2026-09-10,18,6135,6684,6925,8288,2
HYD-BOM,T+30,2026-09-11,18,6135,6975,7211,9611,2
HYD-BOM,T+45,2026-09-10,17,6450,7185,7189,9611,2
HYD-BOM,T+45,2026-09-11,17,6135,6603,7174,11181,2
HYD-BOM,T+7,2026-09-10,17,6078,6450,7045,9285,2
HYD-BOM,T+7,2026-09-11,17,6078,7185,7665,11664,2
MAA-DEL,T+1,2026-09-10,16,10045,14398,15541,25544,2
MAA-DEL,T+1,2026-09-11,14,10892,12065,12788,16640,2
MAA-DEL,T+15,2026-09-10,16,10510,11980,12095,13973,2
MAA-DEL,T+15,2026-09-11,14,10183,12308,12263,13892,2
MAA-DEL,T+30,2026-09-10,17,10045,10045,10129,10510,2
MAA-DEL,T+30,2026-09-11,17,10045,10183,10376,12642,2
MAA-DEL,T+45,2026-09-10,17,10045,10435,10479,11411,2
MAA-DEL,T+45,2026-09-11,17,10045,10183,10240,10892,2
MAA-DEL,T+7,2026-09-10,16,10045,10183,10905,13892,2
MAA-DEL,T+7,2026-09-11,16,10183,11518,12284,15284,2
