state_code,state_name,sector,item_code,share_in_all_india_pct,share_within_state_pct
01,Jammu And Kashmir,urban,07.3.3.1.2.01,1.759197247023401E-4,1.6010705115732261E-2
02,Himachal Pradesh,rural,07.3.3.1.2.01,2.9067059636364063E-4,4.419794484493051E-2
02,Himachal Pradesh,urban,07.3.3.1.2.01,7.0913278403481452E-5,1.0782725211494169E-2
03,Punjab,rural,07.3.3.1.2.01,8.8153971305217566E-4,3.0702283156541929E-2
03,Punjab,urban,07.3.3.1.2.01,1.0520792769453473E-4,3.6641838575903309E-3
05,Uttarakhand,urban,07.3.3.1.2.01,1.1927356267184371E-4,1.187302952830983E-2
06,Haryana,rural,07.3.3.1.2.01,8.0051729057957502E-5,2.5653773170220967E-3
06,Haryana,urban,07.3.3.1.2.01,6.0492713416897476E-4,1.9385794244677939E-2
07,NCT of Delhi,urban,07.3.3.1.2.01,7.3797875197459081E-4,3.218767781687791E-2
08,Rajasthan,rural,07.3.3.1.2.01,8.6504209197412103E-4,1.480829658992687E-2
08,Rajasthan,urban,07.3.3.1.2.01,1.1885016271590621E-4,2.0345466140748903E-3
09,Uttar Pradesh,rural,07.3.3.1.2.01,1.0974046015238305E-3,8.7548229356799283E-3
09,Uttar Pradesh,urban,07.3.3.1.2.01,1.3902747343619927E-4,1.1091268538866591E-3
10,Bihar,rural,07.3.3.1.2.01,5.7144469878172698E-4,8.9741608954359963E-3
10,Bihar,urban,07.3.3.1.2.01,1.5995484061528126E-4,2.5119849370300188E-3
11,Sikkim,rural,07.3.3.1.2.01,3.809097172318398E-6,3.5024677263163408E-3
11,Sikkim,urban,07.3.3.1.2.01,2.1645829291358402E-6,1.9903356378853372E-3
12,Arunachal Pradesh,rural,07.3.3.1.2.01,5.0090083302186795E-6,3.6098352459705998E-3
12,Arunachal Pradesh,urban,07.3.3.1.2.01,5.6770648484115003E-6,4.0912826316984565E-3
13,Nagaland,rural,07.3.3.1.2.01,8.2909729042122545E-6,5.0211146102025397E-3
13,Nagaland,urban,07.3.3.1.2.01,8.0736437669525324E-6,4.8894974261971388E-3
14,Manipur,rural,07.3.3.1.2.01,4.6982044392011265E-5,1.905591662500903E-2
14,Manipur,urban,07.3.3.1.2.01,9.2328557514889697E-5,3.7448461787462257E-2
15,Mizoram,rural,07.3.3.1.2.01,2.2250890511829916E-6,1.9427096115291499E-3
15,Mizoram,urban,07.3.3.1.2.01,1.2276689974744142E-5,1.071869173012149E-2
16,Tripura,rural,07.3.3.1.2.01,3.1217184176750192E-4,7.6931151851793445E-2
16,Tripura,urban,07.3.3.1.2.01,2.2846302329622076E-4,5.6302078490511345E-2
17,Meghalaya,urban,07.3.3.1.2.01,4.0132174183046475E-6,1.708788048132684E-3
18,Assam,rural,07.3.3.1.2.01,3.2089514141251253E-4,1.551637283921567E-2
18,Assam,urban,07.3.3.1.2.01,2.4799731792661577E-4,1.1991514832966029E-2
19,West Bengal,rural,07.3.3.1.2.01,5.0625619384437042E-4,7.786084119220253E-3
19,West Bengal,urban,07.3.3.1.2.01,1.1126105521534742E-3,1.7111651089570912E-2
20,Jharkhand,urban,07.3.3.1.2.01,6.9204435650841063E-4,3.7649523179026742E-2
21,Odisha,urban,07.3.3.1.2.01,7.0211925802512076E-4,2.753081586166669E-2
22,Chhattisgarh,urban,07.3.3.1.2.01,6.2263155443029294E-5,4.8142350391567083E-3
23,Madhya Pradesh,rural,07.3.3.1.2.01,3.3046829660085216E-5,7.0275407031430905E-4
23,Madhya Pradesh,urban,07.3.3.1.2.01,3.6009586163562889E-4,7.6575827415428952E-3
24,Gujarat,rural,07.3.3.1.2.01,6.0097121106649907E-5,1.132521355287588E-3
24,Gujarat,urban,07.3.3.1.2.01,3.4184895959150272E-3,6.4420930635457868E-2
27,Maharashtra,rural,07.3.3.1.2.01,1.237761109287804E-4,1.16865427717579E-3
27,Maharashtra,urban,07.3.3.1.2.01,1.6261603729561646E-3,1.5353683848755632E-2
28,Andhra Pradesh,rural,07.3.3.1.2.01,8.787992431957714E-5,2.0363035612352073E-3
28,Andhra Pradesh,urban,07.3.3.1.2.01,7.378889953233111E-4,1.7097943592998727E-2
29,Karnataka,rural,07.3.3.1.2.01,1.2232428928902437E-4,1.9443052474437722E-3
29,Karnataka,urban,07.3.3.1.2.01,2.2794223754372916E-3,3.6230685757200065E-2
30,Goa,rural,07.3.3.1.2.01,1.8998176334587079E-4,7.4913029401575029E-2
30,Goa,urban,07.3.3.1.2.01,1.4299336467076031E-4,5.6384707369564649E-2
31,Lakshadweep,rural,07.3.3.1.2.01,1.8153538040653613E-5,0.28635810788989419
31,Lakshadweep,urban,07.3.3.1.2.01,1.6775823260222459E-5,0.2646257162837673
32,Kerala,rural,07.3.3.1.2.01,5.6327773363996905E-3,0.1287642939252108
32,Kerala,urban,07.3.3.1.2.01,8.7385332724487081E-4,1.9976132546507191E-2
33,Tamil Nadu,rural,07.3.3.1.2.01,6.0755834414732862E-5,7.5929992106986497E-4
33,Tamil Nadu,urban,07.3.3.1.2.01,1.5392427235302215E-3,1.923678424866548E-2
35,Andaman And Nicobar Islands,rural,07.3.3.1.2.01,5.1097173958884936E-6,8.2766021013743907E-3
35,Andaman And Nicobar Islands,urban,07.3.3.1.2.01,2.0420917967646755E-5,3.3077330793091782E-2
36,Telangana,rural,07.3.3.1.2.01,3.40555148527899E-4,8.2286223416958501E-3
36,Telangana,urban,07.3.3.1.2.01,1.4223854774389132E-3,3.436821604004827E-2
37,Ladakh,urban,07.3.3.1.2.01,3.6571369885533124E-6,1.4839676918063028E-2
